text,category,isenglish,translate
எங்க வீட்டு பெண்கள் தான் எங்களுடைய கௌரவம். என் வீட்டு  பெண்ணை தொட்டா கண்டிப்பாக வெட்டுவேன்.     ஒடுக்கப்பட்ட சமூகம் என்ற போர்வைக்குள் அவர்கள் செய்யும் அநியாயங்களை தட்டிக்கேட்கும் இந்தத் திரைப்படம்.    தஞ்சை - கள்ளர் மறவர் அகமுடையார் ஆகிய முக்குலத்தோர் சார்பாக இத்திரைப்படம் வெற்றி பெற வாழ்த்துகிறேன் .  பசும்பொன் முத்துராமலிங்கத் தேவர் தெய்வமாக துணை நிற்பார் வாழ்த்துக்கள்,OFF,False,எங்க வீட்டு பெண்கள் தான் எங்களுடைய கௌரவம். என் வீட்டு  பெண்ணை தொட்டா கண்டிப்பாக வெட்டுவேன்.     ஒடுக்கப்பட்ட சமூகம் என்ற போர்வைக்குள் அவர்கள் செய்யும் அநியாயங்களை தட்டிக்கேட்கும் இந்தத் திரைப்படம்.    தஞ்சை - கள்ளர் மறவர் அகமுடையார் ஆகிய முக்குலத்தோர் சார்பாக இத்திரைப்படம் வெற்றி பெற வாழ்த்துகிறேன் .  பசும்பொன் முத்துராமலிங்கத் தேவர் தெய்வமாக துணை நிற்பார் வாழ்த்துக்கள்
எப்படியோ நாசமா போங்கடா...என்ன உண்மையா love பன்னா நானும்  love பன்னுவேன்.அது யாரா இருந்தாலும்.உங்க சொத்தும் வேண்டாம் ஒரூ வெங்காயமும் வேண்டாம். first இது என்ன படம்? சாதி support படமா ? இல்ல எதிர்ப்பு படமா?,NOT,True,எப்படியோ நாசமா போங்கடா... என்ன உண்மையா love பன்னா நானும் love பன்னுவேன்.அது யாரா இருந்தாலும்.உங்க சொத்தும் வேண்டாம் ஒரூ வெங்காயமும் வேண்டாம். first இது என்ன படம்? சாதி support படமா ? இல்ல எதிர்ப்பு படமா?
நாயுடு மற்றும் நாயக்கர் இயக்கத்தின் சார்பில் இந்த திரைப்படம் வெள்ளி விழா காண வாழ்த்துக்கள் நாயுடு நாயுடு ஒடுக்கப்பட்ட மக்களினை ஒழிக்க வேண்டும்,OFF,False,நாயுடு மற்றும் நாயக்கர் இயக்கத்தின் சார்பில் இந்த திரைப்படம் வெள்ளி விழா காண வாழ்த்துக்கள் நாயுடு நாயுடு ஒடுக்கப்பட்ட மக்களினை ஒழிக்க வேண்டும்
திருச்சி மாவட்டம் தேவேந்திரகுல வேளாளர் சார்பில் திரைப்படம் வெற்றியடைய வாழ்த்துகள்...,NOT,False,திருச்சி மாவட்டம் தேவேந்திரகுல வேளாளர் சார்பில் திரைப்படம் வெற்றியடைய வாழ்த்துகள்...
"யாதவ், குறும்பா, குறும்பா கௌண்டர், கோனார், இடையர் சார்பாக  படம் மாபெரும்  வெற்றி  பெற வாழ்த்துக்கள். 🤩",NOT,False,"யாதவ், குறும்பா, குறும்பா கௌண்டர், கோனார், இடையர் சார்பாக  படம் மாபெரும்  வெற்றி  பெற வாழ்த்துக்கள். 🤩"
தேவிடியா பையன் கதைய மாத்தி எடுத்துருக்கான் சாதி வெறி பிடித்த பைத்தியங்கார கூதி  வன்முறை கும்பல் #பாமக இந்து சாதி வெறியர்கள்,OFF,False,தேவிடியா பையன் கதைய மாத்தி எடுத்துருக்கான் சாதி வெறி பிடித்த பைத்தியங்கார கூதி  வன்முறை கும்பல் #பாமக இந்து சாதி வெறியர்கள்
* இது ஜாதி படம் இல்லை * பெண்களை அரக்கர்களிடம் இருந்து காப்பாற்றும் படம். * ட்ரைலரை பார்த்து விட்டு யார்  கோபபடுகிறார்களோ அவர் தான் அரக்கர்கள்.,OFF,False,* இது ஜாதி படம் இல்லை * பெண்களை அரக்கர்களிடம் இருந்து காப்பாற்றும் படம். * ட்ரைலரை பார்த்து விட்டு யார்  கோபபடுகிறார்களோ அவர் தான் அரக்கர்கள்.
மதுரை நாயக்கர் சமுதாயம் சார்பாக இந்த படம் வெற்றிபேற வாழ்த்துக்கள்,NOT,False,மதுரை நாயக்கர் சமுதாயம் சார்பாக இந்த படம் வெற்றிபேற வாழ்த்துக்கள்
தீரன் சின்னமலை ஆசியுடன் நல்லதொரு வெற்றி படமாக அமையும்,NOT,False,தீரன் சின்னமலை ஆசியுடன் நல்லதொரு வெற்றி படமாக அமையும்
விருந்தாடிக்கு பொறந்த அணைவருக்கும் தம்பி மோகன் வாயிலாக முதல் சவுக்கடி...,OFF,False,விருந்தாடிக்கு பொறந்த அணைவருக்கும் தம்பி மோகன் வாயிலாக முதல் சவுக்கடி...
